index,North,South,West,East,ND,SD,WD,ED
1,,2,7,,,3,3,
2,1,,8,,3,,3,
3,,,9,,,,3,
4,,5,10,,,3,3,
5,4,6,,,3,3,,
6,5,,12,,3,,3,
7,,,,1,,,,3
8,,,14,2,,,3,3
9,,10,15,3,,3,3,3
10,9,,16,4,3,,3,3
11,,12,,,,3,,
12,11,,18,6,3,,3,3
13,,14,19,,,3,3,
14,13,,20,8,3,,3,3
15,,,21,9,,,3,3
16,,17,,10,,3,,3
17,16,,23,,3,,3,
18,,,,12,,,,3
19,,,25,13,,,3,3
20,,21,,14,,3,,3
21,20,22,27,15,3,3,3,3
22,21,,,,3,,,
23,,24,29,17,,3,3,3
24,23,,30,,3,,3,
25,,,31,19,,,3,3
26,,,32,,,,3,
27,,28,33,21,,3,3,3
28,27,29,,,3,3,,
29,28,,,23,3,,,3
30,,,,24,,,,3
31,,32,37,25,,3,3,3
32,31,33,,26,3,3,,3
33,32,,,27,3,,,3
34,,35,40,,,3,3,
35,34,36,,,3,3,,
36,35,,42,,3,,3,
37,,38,43,31,,3,3,3
38,37,,44,,3,,3,
39,,40,45,,,3,3,
40,39,,46,34,3,,3,3
41,,42,,,,3,,
42,41,,,36,3,,,3
43,,,,37,,,,3
44,,45,,38,,3,,3
45,44,,,39,3,,,3
46,,47,,40,,3,,3
47,46,48,,,3,3,,
48,47,,,,3,,,
