index,North,South,West,East,ND,SD,WD,ED
1,,2,7,,,3,3,
2,1,3,8,,3,3,3,
3,2,4,,,3,3,,
4,3,5,,,3,3,,
5,4,6,11,,3,3,3,
6,5,,,,3,,,
7,,,,1,,,,3
8,,,14,2,,,3,3
9,,,15,,,,3,
10,,11,16,,,3,3,
11,10,,17,5,3,,3,3
12,,,18,,,,3,
13,,14,19,,,3,3,
14,13,15,20,8,3,3,3,3
15,14,,21,9,3,,3,3
16,,17,22,10,,3,3,3
17,16,18,,11,3,3,,3
18,17,,24,12,3,,3,3
19,,,,13,,,,3
20,,21,,14,,3,,3
21,20,,27,15,3,,3,3
22,,,,16,,,,3
23,,24,,,,3,,
24,23,,30,18,3,,3,3
25,,26,,,,3,,
26,25,27,32,,3,3,3,
27,26,28,33,21,3,3,3,3
28,27,29,,,3,3,,
29,28,30,,,3,3,,
30,29,,36,24,3,,3,3
31,,32,37,,,3,3,
32,31,,,26,3,,,3
33,,34,39,27,,3,3,3
34,33,35,40,,3,3,3,
35,34,36,,,3,3,,
36,35,,42,30,3,,3,3
37,,38,,31,,3,,3
38,37,39,44,,3,3,3,
39,38,,,33,3,,,3
40,,,46,34,,,3,3
41,,42,,,,3,,
42,41,,48,36,3,,3,3
43,,44,,,,3,,
44,43,45,,38,3,3,,3
45,44,,,,3,,,
46,,47,,40,,3,,3
47,46,,,,3,,,
48,,,,42,,,,3
