index,North,South,West,East,ND,SD,WD,ED
1,,2,7,,,3,3,
2,1,3,,,3,3,,
3,2,4,,,3,3,,
4,3,5,,,3,3,,
5,4,6,,,3,3,,
6,5,,12,,3,,3,
7,,8,,1,,3,,3
8,7,9,14,,3,3,3,
9,8,10,,,3,3,,
10,9,11,,,3,3,,
11,10,,17,,3,,3,
12,,,,6,,,,3
13,,,19,,,,3,
14,,15,20,8,,3,3,3
15,14,,,,3,,,
16,,17,22,,,3,3,
17,16,18,,11,3,3,,3
18,17,,24,,3,,3,
19,,20,,13,,3,,3
20,19,,26,14,3,,3,3
21,,22,,,,3,,
22,21,,,16,3,,,3
23,,24,,,,3,,
24,23,,30,18,3,,3,3
25,,,31,,,,3,
26,,,32,20,,,3,3
27,,28,33,,,3,3,
28,27,,,,3,,,
29,,30,35,,,3,3,
30,29,,,24,3,,,3
31,,32,,25,,3,,3
32,31,33,,26,3,3,,3
33,32,34,,27,3,3,,3
34,33,,40,,3,,3,
35,,36,,29,,3,,3
36,35,,42,,3,,3,
37,,38,43,,,3,3,
38,37,39,,,3,3,,
39,38,40,,,3,3,,
40,39,,46,34,3,,3,3
41,,,47,,,,3,
42,,,48,36,,,3,3
43,,44,,37,,3,,3
44,43,,,,3,,,
45,,46,,,,3,,
46,45,47,,40,3,3,,3
47,46,,,41,3,,,3
48,,,,42,,,,3
